,0
0,11909
1,88435
2,127886
3,156865
4,321725
5,385099
6,398628
7,518801
8,673649
9,728338
10,783904
11,804977
12,1092730
13,1146361
14,1236489
15,1245080
16,1463819
17,1771207
18,1820986
19,2032307
20,2094227
21,2125401
22,2202611
23,2472357
24,2739996
25,2744665
26,2957759
27,3481701
28,3783078
29,3785717
30,3912421
31,3974716
32,3995419
33,3999207
34,4332468
35,4459472
36,4491911
37,4508176
38,4524827
39,4527018
40,4541327
41,4549514
42,4758169
43,4775076
44,4806930
45,4846314
46,4906605
47,5012048
48,5020977
49,5148920
50,5277342
51,5376907
52,5576387
53,5677999
54,5774475
55,6101930
56,6106645
57,6166948
58,6246208
59,6458741
60,6476792
61,6518192
62,6620845
63,6660521
64,7039179
65,7090347
66,7247758
67,7418788
68,7474815
69,7492963
70,7729629
71,7775525
72,7783141
73,7797081
74,7906288
75,8091986
76,8219284
77,8225387
78,8240518
79,8264366
80,8330324
81,8512705
82,8644302
83,8701652
84,9358787
85,9410150
86,9532118
87,9615612
88,9846574
89,10004036
90,10048371
91,10049733
92,10121594
93,10512994
94,10535983
95,10682237
96,11265113
97,11327804
98,11330751
99,11381987
100,11536701
101,11540972
102,11559612
103,11594940
104,11647822
105,11865472
106,11933352
107,12031288
108,12072032
109,12258943
110,12260169
111,12283704
112,12588109
113,12651033
114,12772302
115,12841466
116,12925259
117,12954136
118,13148689
119,13213272
120,13337023
121,13346954
122,13411350
123,13474130
124,13510503
125,13753079
126,14056770
127,14270309
128,14342244
129,14373224
130,14561918
131,14796533
132,14850780
133,15058104
134,15256343
135,15313498
136,15417957
137,15440251
138,15454118
139,15616996
140,15637909
141,15709827
142,15758634
143,16194870
144,16451745
145,16477616
146,16647031
147,16651893
148,16857836
149,16939554
150,16957826
151,17164333
152,17292984
153,17440844
154,17466814
155,17668458
156,18500016
157,18558833
158,18570863
159,18926299
160,19064962
161,19308877
162,19431238
163,19474281
164,19485538
165,19745185
166,19792021
167,19851950
168,19886395
169,20129702
170,20130615
171,20203936
172,20239171
173,20262343
174,20283683
175,20310402
176,20671628
177,20931915
178,21041568
179,21156522
180,21348618
181,21590841
182,21727868
183,21821199
184,21837172
185,22018599
186,22168100
187,22297230
188,22415530
189,22640552
190,22768561
191,22829239
192,23015630
193,23506805
194,23541850
195,23656824
196,23686598
197,23808546
198,25038801
199,25040720
200,25211962
201,25260472
202,25353425
203,25468592
204,25717043
205,25880619
206,26326834
207,26556558
208,26792861
209,26972225
210,26979163
211,27172115
212,27211434
213,27353212
214,27382525
215,27518648
216,28036831
217,28151410
218,28495388
219,28574943
220,29108883
221,29203361
222,29305744
223,29496862
224,29674754
225,29743151
226,30037705
227,30334207
228,30707875
229,30904834
230,31191362
231,31233952
232,31667740
233,31693514
234,31895391
235,31898913
236,32175437
237,32183951
238,32412694
239,32785203
240,32793456
241,32798576
242,33143311
243,33295912
244,33518428
245,33647540
246,33821851
247,33842512
248,33973892
249,34062790
250,34593883
251,34649557
252,34678066
253,34727045
254,34899481
255,35201577
256,35238341
257,35253511
258,35535873
259,35572870
260,35639447
261,35689724
262,35721181
263,35755728
264,35807340
265,35993530
266,36028510
267,36304069
268,36646488
269,36775056
270,37056163
271,37253574
272,38068248
273,38523846
274,38643766
275,38775529
276,38955692
277,39085244
278,39124253
279,39597790
280,39799935
281,39845755
282,39871286
283,40063904
284,40335286
285,40526249
286,40574124
287,40742017
288,40786942
289,40857388
290,40930827
291,40942346
292,41009896
293,41070634
294,41135806
295,41181801
296,41182791
297,41364188
298,41364575
299,41468020
300,41523298
301,41647710
