,0
532,82707522
533,43779142
534,270402630
535,153355339
536,19530828
537,56755276
538,285213774
539,34341970
540,102761554
541,462947415
542,479986775
543,274859100
544,498861148
545,442369118
546,343278687
547,241828958
548,224527461
549,615777382
550,174195814
551,609879144
552,112723048
553,43517034
554,310641767
555,485491822
556,33817711
557,756548720
558,9438320
559,565576822
560,617350263
561,138151037
562,398066815
563,441582721
564,131728513
565,27133060
566,175899781
567,490341510
568,153093254
569,340919428
570,590742667
571,91882637
572,13108369
573,50201746
574,121767059
575,244974741
576,549717142
577,778830998
578,315753625
579,80348314
580,593888411
581,142083225
582,158074017
583,160302243
584,606995621
585,723387558
586,241829031
587,590218408
588,140117162
589,1180844
590,421135535
591,316277935
592,193332405
593,484574391
594,421790907
595,444466365
596,248382655
597,434635976
598,177472715
599,385615053
600,24380624
601,163316946
602,94897363
603,146277588
604,262669525
605,414319829
606,545129684
607,348914907
608,156632283
609,603981020
610,547095774
611,10880225
612,513279204
613,13501670
614,211813607
615,446563562
616,167904490
617,190973164
618,374211821
619,380503277
620,144049387
621,491914479
622,92538098
623,43386100
624,25429246
625,556532991
626,656641
627,141821194
628,34342156
629,97781005
630,324797709
631,159384847
632,9700626
633,149685523
634,64095508
635,29754644
636,139461910
637,62522647
638,228984086
639,238552346
640,509084956
641,191890717
642,350356771
643,303695145
644,268436780
645,120063280
646,172754225
647,240256306
648,360187189
649,19531062
650,17171770
651,346555707
652,470680892
653,184157501
654,492569918
655,496895294
656,389154112
657,49546560
658,172623173
659,150340936
660,320734537
661,151389515
662,44303693
663,251266385
664,264635730
665,84149587
666,439616850
667,72353105
668,9176406
669,4588883
670,25036124
671,564659556
672,151127397
673,82183524
674,341443943
675,512230763
676,219940209
677,163054962
678,153748852
679,317719926
680,47056247
681,211027320
682,64882044
683,31196546
684,145622407
685,449840520
686,339477898
687,153224587
688,413533581
689,155977101
690,9176462
691,136316307
692,520226196
693,733873557
694,56362391
695,217843098
696,5637533
697,220071326
698,261883295
699,153748899
700,709756324
701,577635749
702,143263145
703,258868650
704,87033259
705,4064687
706,241173940
707,562693558
708,326370743
709,176817592
710,17696193
711,150341058
712,35521990
713,212600266
714,326239691
715,136185292
716,27526604
717,213648849
718,470681042
719,13895121
720,449971668
